employee_code,employee_name,email,role,department,manager,avg_login_time,avg_logout_time,login_frequency,weekend_logins,night_logins,failed_logins,usb_usage,files_accessed,large_file_transfers,external_emails,total_emails,web_browsing,job_search,after_hours_activity,unique_devices,avg_session_duration,O,C,E,A,N
ABM0845,Ariel Bertha Murphy,Ariel.Bertha.Murphy@dtaa.com,ProductionLineWorker,3 - Assembly,Amy Lucy Chen,10.504285714285714,18.602439024390247,2.3333333333333335,0,0,0,0.0,0,0,5,12,10,0,0,2,7.734057971014493,45,21,35,50,29
VIA0063,Vance Ira Alston,Vance.Ira.Alston@dtaa.com,Manager,2 - SoftwareManagement,Todd Vance Spears,7.9403508771929845,18.05270270270271,1.2666666666666666,0,0,0,631.0,1749,70,79,174,150,0,0,1,10.115765765765763,40,34,19,50,33
CCW0031,Clinton Coby Wolfe,Clinton.Coby.Wolfe@dtaa.com,Manager,6 - Security,Fatima Ulla Mcclure,7.699122807017543,15.804054054054058,1.2666666666666666,0,0,0,0.0,0,0,90,166,166,0,0,1,8.106756756756756,33,47,30,39,33
IYB0918,Illana Yvette Bradshaw,Illana.Yvette.Bradshaw@dtaa.com,Scientist,1 - Research,Lillith Adena Matthews,8.497368421052629,19.517117117117117,1.2666666666666666,0,0,0,0.0,0,0,47,108,95,2,0,1,11.023423423423427,17,21,42,14,30
ORM0669,Orla Ruth Mckenzie,Orla.Ruth.Mckenzie@dtaa.com,Mathematician,1 - Research,Sarah Imelda Juarez,8.77312925170068,15.063888888888888,1.6333333333333333,0,0,1,0.0,0,0,48,105,104,0,0,2,5.283680555555556,44,39,28,39,36
MJB0588,Mikayla Jaden Barron,Mikayla.Jaden.Barron@dtaa.com,ProductionLineWorker,3 - Assembly,Whilemina Pandora England,8.47236842105263,18.52792792792793,1.2666666666666666,0,0,0,0.0,0,0,6,13,10,0,0,1,10.057657657657659,39,24,15,47,38
LIM0674,Leah Idola Moran,Leah.Idola.Moran@dtaa.com,Physicist,1 - Research,Sarah Imelda Juarez,10.14071729957806,14.370748299319729,2.6333333333333333,3,2,1,31.0,49,1,63,107,98,0,4,2,4.108760683760685,18,13,35,49,20
LHN0151,Lacota Helen Nash,Lacota.Helen.Nash@dtaa.com,Accountant,1 - Accounting,Cedric Herrod Gilliam,8.504824561403506,16.496846846846847,1.2666666666666666,0,0,0,0.0,0,0,23,60,48,0,0,1,7.997747747747747,13,15,19,32,26
WTR0563,William Theodore Reeves,William.Theodore.Reeves@dtaa.com,ComputerProgrammer,2 - SoftwareManagement,Stephanie Briar Harrington,8.945175438596491,18.063963963963964,1.2666666666666666,0,0,1,0.0,0,0,43,106,95,0,0,1,9.12027027027027,47,45,46,15,31
MKS0204,MacKenzie Kristen Stewart,MacKenzie.Kristen.Stewart@dtaa.com,Attorney,3 - Contracts,Whoopi Britanney Camacho,7.244298245614035,17.25855855855856,1.2666666666666666,0,0,1,0.0,0,0,47,136,121,4,0,1,10.018018018018017,21,30,21,16,31
AAW0353,Armando Albert Walter,Armando.Albert.Walter@dtaa.com,AssemblySupervisor,3 - Assembly,Delilah Iliana Wilkinson,7.945614035087718,18.0518018018018,1.2666666666666666,0,0,0,0.0,0,0,16,36,31,0,0,1,10.108108108108109,49,45,19,25,34
WJD0576,Willow Jaime Daniel,Willow.Jaime.Daniel@dtaa.com,ProductionLineWorker,3 - Assembly,Whilemina Pandora England,8.505263157894735,18.55360360360361,1.2666666666666666,0,0,3,0.0,0,0,6,12,10,0,0,1,10.051801801801803,40,20,23,38,26
ILH0958,Irene Lacota Huffman,Irene.Lacota.Huffman@dtaa.com,ProductionLineWorker,3 - Assembly,Sandra Beverly Diaz,9.53464912280702,15.450709219858158,2.533333333333333,0,0,0,27.0,511,21,7,13,12,0,0,4,5.586666666666667,28,17,20,19,24
TLK0993,Tallulah Liberty Kirby,Tallulah.Liberty.Kirby@dtaa.com,IndustrialEngineer,1 - IndustrialEngineering,Grant Tyrone Doyle,9.214912280701753,21.285135135135135,1.2666666666666666,0,0,1,0.0,0,0,20,104,95,0,59,1,12.07162162162162,41,36,40,35,22
RAG0275,Rashad Aristotle Guerrero,Rashad.Aristotle.Guerrero@dtaa.com,ElectricalEngineer,3 - Engineering,Gage Kaden Odonnell,7.203947368421052,17.290090090090093,1.2666666666666666,0,0,1,0.0,0,0,45,107,111,0,0,1,10.089189189189186,23,38,35,41,32
KWC0004,Kai Wynne Craft,Kai.Wynne.Craft@dtaa.com,VicePresident,,Mona Susan Shannon,7.960087719298245,17.04594594594595,1.2666666666666666,0,0,1,0.0,0,0,171,333,306,1,0,1,9.088288288288288,23,38,39,20,27
CJK0200,Cora Jane Kinney,Cora.Jane.Kinney@dtaa.com,PurchasingClerk,2 - Pricing,Eugenia Whilemina Harrington,7.493421052631579,15.533333333333333,1.2666666666666666,0,0,0,0.0,0,0,77,137,121,0,0,1,8.04144144144144,40,29,24,38,31
FEB0306,Flynn Edward Brennan,Flynn.Edward.Brennan@dtaa.com,ProductionLineWorker,3 - Assembly,Shannon Chantale Price,11.253472222222221,17.411627906976744,2.4,0,0,0,83.0,269,16,4,12,10,0,0,2,5.880281690140845,40,42,26,25,31
NKH0807,Nicolas Kadeem Hayden,Nicolas.Kadeem.Hayden@dtaa.com,ComputerProgrammer,2 - SoftwareManagement,Sara Gail George,8.440350877192982,20.545045045045043,1.2666666666666666,0,0,1,0.0,0,0,43,112,95,3,60,1,12.107207207207209,45,44,40,22,20
JMC0925,Jade Maris Coleman,Jade.Maris.Coleman@dtaa.com,Physicist,1 - Research,Lillith Adena Matthews,10.619573643410853,16.159821428571426,2.8666666666666667,0,8,1,0.0,0,0,31,117,95,0,13,2,4.666085271317829,33,10,23,19,31
SBH0537,Stephanie Briar Harrington,Stephanie.Briar.Harrington@dtaa.com,Manager,2 - SoftwareManagement,Todd Vance Spears,10.874074074074073,18.015040650406508,2.4,6,0,0,36.0,130,7,83,169,143,0,0,1,7.111267605633803,34,21,14,13,33
JJB0700,Julie Jaime Burns,Julie.Jaime.Burns@dtaa.com,ProductionLineWorker,3 - Assembly,Alan Benjamin Holder,7.9658119658119615,16.748684210526317,1.3,0,0,1,0.0,0,0,3,11,11,0,0,2,8.775877192982454,15,19,39,37,28
AIS0405,Amaya Iola Sawyer,Amaya.Iola.Sawyer@dtaa.com,SoftwareEngineer,2 - SoftwareManagement,Jocelyn Bree Mccray,7.943421052631581,19.040990990990995,1.2666666666666666,0,0,0,0.0,0,0,65,110,98,0,0,1,11.099549549549549,40,45,14,37,35
HAH0760,Hilda Alice Hahn,Hilda.Alice.Hahn@dtaa.com,Technician,3 - FieldService,Blaine Helen Cervantes,10.507828282828282,16.51936936936937,2.2,0,0,0,145.0,367,19,7,36,29,0,0,1,5.972820512820513,34,17,22,37,30
AHD0848,Aladdin Hu Day,Aladdin.Hu.Day@dtaa.com,ProductionLineWorker,3 - Assembly,Amy Lucy Chen,10.974572649572648,19.207291666666666,2.6,6,0,1,40.0,44,4,7,15,10,0,0,5,8.097835497835497,24,30,49,16,30
LDM0587,Lila Dana Mcintyre,Lila.Dana.Mcintyre@dtaa.com,ProductionLineWorker,3 - Assembly,Whilemina Pandora England,8.48201754385965,18.534234234234237,1.2666666666666666,0,0,0,0.0,0,0,7,12,10,0,0,1,10.053153153153154,49,20,23,21,26
AJN0607,Armand Jasper Nicholson,Armand.Jasper.Nicholson@dtaa.com,Salesman,2 - Sales,Winter Veda Burks,10.389316239316239,16.131597222222222,2.6,0,0,1,237.0,157,8,98,177,189,0,0,2,5.314502164502164,45,42,16,47,23
EIS0041,Emerald Imani Schmidt,Emerald.Imani.Schmidt@dtaa.com,ITAdmin,6 - Security,Frances Alisa Wiggins,12.1292817679558,14.300762527233115,6.033333333333333,0,75,1,315.0,762,41,66,127,133,0,618,112,0.7427777777777775,41,44,17,48,30
MLG0475,Melodie Lee Glenn,Melodie.Lee.Glenn@dtaa.com,ProductionLineWorker,3 - Assembly,Armando Albert Walter,8.047368421052632,18.01981981981982,1.2666666666666666,0,0,0,0.0,0,0,4,13,10,0,0,1,9.971621621621622,45,16,18,19,25
EPW0434,Ethan Perry Wiggins,Ethan.Perry.Wiggins@dtaa.com,TestEngineer,3 - Engineering,Cameron Noel Elliott,7.947807017543859,17.026576576576574,1.2666666666666666,0,0,1,0.0,0,0,65,103,96,0,0,1,9.082432432432432,32,36,38,22,33
JAM0382,Jena Audrey Malone,Jena.Audrey.Malone@dtaa.com,Scientist,1 - Research,Kim Dara Sullivan,7.956140350877193,16.01981981981982,1.2666666666666666,0,0,0,0.0,0,0,39,105,101,0,0,1,8.066216216216219,25,23,41,17,23
NCK0295,Noble Clinton Klein,Noble.Clinton.Klein@dtaa.com,ProductionLineWorker,3 - Assembly,Shannon Chantale Price,8.967105263157894,18.012162162162163,1.2666666666666666,0,0,0,0.0,0,0,7,13,10,0,0,1,9.046396396396398,31,30,38,36,34
LJT0817,Luke Jacob Talley,Luke.Jacob.Talley@dtaa.com,ComputerScientist,2 - SoftwareManagement,Sara Gail George,10.38510101010101,20.0,2.2,0,0,0,155.0,418,20,43,107,95,1,66,2,9.321282051282052,39,43,38,39,24
CAM0102,Chandler Ashton Madden,Chandler.Ashton.Madden@dtaa.com,ComputerScientist,3 - Engineering,Gage Kaden Odonnell,7.215350877192982,17.28963963963964,1.2666666666666666,0,0,0,0.0,0,0,57,108,95,0,0,1,10.075225225225228,31,44,19,15,27
SOG0411,Suki Ori Grant,Suki.Ori.Grant@dtaa.com,SystemsEngineer,3 - Engineering,Hadassah Riley Baker,8.017543859649122,18.01981981981982,1.2666666666666666,0,0,0,0.0,0,0,49,109,100,0,0,1,10.005855855855854,26,19,21,24,23
KSH0569,Kameko Signe Harrison,Kameko.Signe.Harrison@dtaa.com,SoftwareEngineer,2 - SoftwareManagement,Stephanie Briar Harrington,8.96359649122807,18.023423423423424,1.2666666666666666,0,0,0,0.0,0,0,32,98,95,0,0,1,9.060810810810809,15,39,23,14,22
BDI0533,Bruno Donovan Ingram,Bruno.Donovan.Ingram@dtaa.com,Technician,3 - FieldService,Burke Randall Burnett,11.033333333333331,16.576785714285712,3.0,21,0,1,211.0,460,32,30,47,90,0,0,2,5.373595505617978,37,36,15,41,19
PMJ0564,Paula Madaline Jackson,Paula.Madaline.Jackson@dtaa.com,ComputerScientist,2 - SoftwareManagement,Stephanie Briar Harrington,11.144246031746032,16.01018518518519,2.8,0,5,0,0.0,0,0,38,101,95,0,9,2,4.03809523809524,30,21,40,14,39
HGG0240,Hedda Grace Gordon,Hedda.Grace.Gordon@dtaa.com,ComputerScientist,2 - SoftwareManagement,Vance Ira Alston,7.9750000000000005,18.014864864864865,1.2666666666666666,0,0,0,0.0,0,0,57,105,101,0,0,1,10.041891891891893,20,26,24,36,31
MGS0974,Mari Gretchen Shaw,Mari.Gretchen.Shaw@dtaa.com,HumanResourceSpecialist,1 - Personnel,Bethany Xerxes Johnson,8.150378787878786,17.57984496124031,1.4666666666666666,4,0,0,25.0,28,3,78,139,117,0,0,2,8.939922480620154,17,39,39,40,27
DHM0937,Dominic Howard Mcconnell,Dominic.Howard.Mcconnell@dtaa.com,ComputerProgrammer,2 - SoftwareManagement,Caleb Mason Ball,7.228070175438596,16.258108108108104,1.2666666666666666,0,0,1,0.0,0,0,59,111,107,0,0,1,9.033333333333333,43,22,21,15,24
CEB0210,Colin Evan Brown,Colin.Evan.Brown@dtaa.com,SecurityGuard,6 - Security,Clinton Coby Wolfe,7.718859649122805,15.756756756756756,1.2666666666666666,0,0,0,0.0,0,0,80,171,158,0,0,1,8.042342342342344,42,24,44,23,34
YJV0699,Yvette Jeanette Vang,Yvette.Jeanette.Vang@dtaa.com,ProductionLineWorker,3 - Assembly,Alan Benjamin Holder,7.738157894736841,16.784234234234233,1.2666666666666666,0,0,1,0.0,0,0,9,12,12,0,0,1,9.046846846846849,17,25,30,13,31
BMT0528,Brittany Mona Terry,Brittany.Mona.Terry@dtaa.com,Technician,3 - FieldService,Burke Randall Burnett,9.177083333333334,16.79957264957265,1.3333333333333333,0,0,2,158.0,403,29,16,37,29,0,0,2,7.417948717948718,33,25,39,25,30
CJC0494,Caleb Jonas Chang,Caleb.Jonas.Chang@dtaa.com,Salesman,2 - Sales,Bert Jason Henderson,8.211842105263157,17.289639639639642,1.2666666666666666,0,0,0,0.0,0,0,66,170,178,0,0,1,9.080630630630631,40,39,39,42,42
GCS0571,Glenna Caryn Sharpe,Glenna.Caryn.Sharpe@dtaa.com,ProductionLineWorker,3 - Assembly,Whilemina Pandora England,10.656280193236716,18.27991452991453,2.3,0,0,1,34.0,122,8,4,11,10,0,0,2,7.492892156862745,22,18,16,23,32
BJP0134,Beck John Peters,Beck.John.Peters@dtaa.com,ProductionLineWorker,3 - Assembly,Shannon Chantale Price,11.093283582089553,18.01359649122807,2.2333333333333334,0,0,1,687.0,1675,77,6,13,10,0,0,2,6.8835858585858585,42,17,44,21,39
KBP0008,Kirby Bo Pollard,Kirby.Bo.Pollard@dtaa.com,VicePresident,,Mona Susan Shannon,9.734325396825394,14.776851851851855,2.8,0,0,0,0.0,0,0,147,322,383,5,0,2,4.374497991967872,23,18,40,11,34
FLM0213,Fitzgerald Len Merrill,Fitzgerald.Len.Merrill@dtaa.com,SecurityGuard,6 - Security,Clinton Coby Wolfe,7.705263157894736,15.80315315315315,1.2666666666666666,0,0,0,0.0,0,0,80,166,152,0,0,1,8.09954954954955,20,41,46,15,24
RRP0568,Rhonda Rhona Parsons,Rhonda.Rhona.Parsons@dtaa.com,ComputerScientist,2 - SoftwareManagement,Stephanie Briar Harrington,10.968779342723005,17.545833333333334,2.3666666666666667,0,0,1,85.0,313,18,61,107,95,0,0,2,6.30547619047619,43,50,38,18,33
SAA0999,Shelly Audra Ayala,Shelly.Audra.Ayala@dtaa.com,ElectricalEngineer,2 - ManufacturingEngineering,Fritz Dale Ellison,10.377857142857145,18.99956140350877,2.3333333333333335,0,0,0,683.0,1757,108,63,103,90,3,0,2,8.466908212560387,20,17,34,11,36
THR0873,Teagan Hedy Romero,Teagan.Hedy.Romero@dtaa.com,Salesman,2 - Sales,Hashim Damon Dudley,8.323333333333332,17.151282051282056,1.3333333333333333,0,1,0,636.0,1753,90,85,174,193,0,12,1,9.133750000000001,37,44,21,40,38
KRM0541,Kimberley Roary Maldonado,Kimberley.Roary.Maldonado@dtaa.com,Scientist,1 - Research,Honorato Ivan Wall,8.009401709401708,17.739035087719298,1.3,0,0,0,0.0,0,0,36,116,93,0,0,2,9.479385964912282,40,20,38,36,23
KSP0966,Kenneth Steel Porter,Kenneth.Steel.Porter@dtaa.com,ProductionLineWorker,3 - Assembly,Sandra Beverly Diaz,7.204824561403508,16.293693693693687,1.2666666666666666,0,0,0,0.0,0,0,3,12,11,0,0,1,9.090540540540541,42,36,19,24,35
LOF0311,Lionel Omar Fisher,Lionel.Omar.Fisher@dtaa.com,Salesman,2 - Sales,Meredith Ainsley Wolf,7.73157894736842,15.737837837837837,1.2666666666666666,0,0,0,0.0,0,0,99,180,162,0,0,1,8.012162162162161,41,15,36,10,32
MBR0724,Montana Basia Roberts,Montana.Basia.Roberts@dtaa.com,ProductionLineWorker,3 - Assembly,Alan Benjamin Holder,7.7096491228070185,16.79099099099099,1.2666666666666666,0,0,1,0.0,0,0,4,12,11,0,0,1,9.082432432432432,33,44,18,35,31
MLP0668,Medge Liberty Petersen,Medge.Liberty.Petersen@dtaa.com,Mathematician,1 - Research,Sarah Imelda Juarez,7.969736842105266,16.01981981981982,1.2666666666666666,0,0,0,0.0,0,0,67,113,99,0,0,1,8.053603603603603,40,17,16,43,33
CUD0795,Charity Uta Daniels,Charity.Uta.Daniels@dtaa.com,Physicist,1 - Research,Sasha Britanney Quinn,8.193859649122807,17.291891891891893,1.2666666666666666,0,0,0,0.0,0,0,40,106,97,0,0,1,9.09954954954955,12,40,30,44,24
GZC0735,Guy Zeus Chandler,Guy.Zeus.Chandler@dtaa.com,Salesman,2 - Sales,Lysandra Chastity Brennan,10.396031746031747,16.524305555555554,2.8,11,0,0,79.0,60,11,60,198,155,0,0,2,5.91987951807229,44,16,15,27,25
HLH0512,Hadassah Leah Harris,Hadassah.Leah.Harris@dtaa.com,Technician,3 - FieldService,Burke Randall Burnett,9.08827160493827,17.045283018867924,1.8,15,0,0,0.0,0,0,20,53,87,0,0,2,7.951886792452829,15,42,36,22,32
NJB0243,Norman Jackson Beck,Norman.Jackson.Beck@dtaa.com,MechanicalEngineer,3 - Engineering,Harper Price Harris,8.301162790697674,16.324603174603176,1.4333333333333333,0,0,0,0.0,0,0,52,112,100,0,0,2,7.323809523809524,23,35,37,24,34
GCS0518,Gregory Curran Sutton,Gregory.Curran.Sutton@dtaa.com,Technician,3 - FieldService,Burke Randall Burnett,8.951754385964913,17.061261261261265,1.2666666666666666,0,0,0,0.0,0,0,19,35,29,0,0,1,8.111711711711711,41,36,23,38,21
